Wavelength [nm],Sensitivity [A/W]
400,1.297E-01
410,1.468E-01
420,1.554E-01
430,1.682E-01
440,1.845E-01
450,1.965E-01
460,2.111E-01
470,2.201E-01
480,2.294E-01
490,2.436E-01
500,2.593E-01
510,2.751E-01
520,2.852E-01
530,2.967E-01
540,3.078E-01
550,3.175E-01
560,3.284E-01
570,3.386E-01
580,3.482E-01
590,3.577E-01
600,3.656E-01
610,3.759E-01
620,3.868E-01
630,3.973E-01
640,4.107E-01
650,4.185E-01
660,4.269E-01
670,4.357E-01
680,4.422E-01
690,4.506E-01
700,4.567E-01
710,4.624E-01
720,4.708E-01
730,4.755E-01
740,4.811E-01
750,4.875E-01
760,4.922E-01
770,4.980E-01
780,5.038E-01
790,5.076E-01
800,5.109E-01
810,5.125E-01
820,5.123E-01
830,5.109E-01
840,5.069E-01
850,5.006E-01
860,4.920E-01
870,4.816E-01
880,4.684E-01
890,4.522E-01
900,4.331E-01
910,4.117E-01
920,3.927E-01
930,3.642E-01
940,3.375E-01
950,3.086E-01
960,2.796E-01
970,2.504E-01
980,2.197E-01
990,1.912E-01
1000,1.633E-01
1010,1.373E-01
1020,1.131E-01
1030,9.087E-02
1040,7.048E-02
1050,5.330E-02
1060,3.974E-02
1070,3.005E-02
1080,2.275E-02
1090,1.764E-02
1100,1.372E-02
